Nom,Lat,Long
PORT DE BOUC,43.40724137,4.98471855
MASSIAC BLESLE,45.25314597,3.19642335
MAURS,44.70639383,2.20008776
NEUSSARGUES,45.12530029,2.97841321
BORT LES ORGUES,45.40635653,2.50256351
DIJON VILLE,47.323524,5.028093
GENLIS,47.24448705,5.22386911
NUITS ST GEORGES,47.13066841,4.95622765
FRASNE,46.85784682,6.15768354
MONTBELIARD,47.51075829,6.8013591
ST VIT,47.18359013,5.80864231
LIVRON,44.77990875,4.82989844
MONTELIMAR,44.5584944092,4.74557829617
LE GRAU DU ROI,43.53658234,4.14086719
VILLENEUVE LES AVIGNON,43.956255,4.792372
GRENOBLE REPUBLIQUE,45.190614,5.729896
GRENOBLE UNIVERSITES GIERES,45.184646,5.784636
JARRIE VIZILLE,45.08541513,5.74225624
MONESTIER DE CLERMONT,44.91240895,5.63462696
PONTCHARRA SUR BREDA ALLEVARD,45.4340136,6.0078904
ST EGREVE ST ROBERT,45.23570155,5.67119196
VOIRON,45.36393503,5.5944984
ST CLAIR LES ROCHES,45.4506407,4.77024858
ST ETIENNE CHATEAUCREUX,45.44278384,4.40033827
SAINT ETIENNE CHATEAUCREUX,45.44278384,4.40033827
CERCY LA TOUR,46.85774716,3.64491491
BRASSAC LES MINES STE FLORINE,45.4142918,3.33067463
CLERMONT FERRAND,45.7794112139,3.10052830179
VIC LE COMTE,45.66574429,3.20698869
BOURG MADAME,42.43209002,1.94931314
COLLIOURE,42.5268923,3.07872086
ELNE,42.59736926,2.96352068
RIVESALTES,42.76615979,2.8678155
AMPLEPUIS,45.97144066,4.32579653
OULLINS,45.71731326,4.81350575
ST GENIS LAVAL,45.695637,4.793449
ST GERMAIN AU MONT D'OR,45.88878538,4.80412682
ST PRIEST,45.68672983,4.93394507
TARARE,45.88978808,4.43907466
LURE,47.68297051,6.49278884
LUXEUIL LES BAINS,47.81516287,6.37186494
VESOUL,47.61747601,6.1517442
DIGOIN,46.48525336,3.98800394
LE CREUSOT MONTCEAU MONTCHANIN TGV,46.759221,4.4815578
LE CREUSOT MONTCEAU MONTCHANIN,46.759221,4.4815578
LES ARCS,45.5769448,6.7818596
MODANE,45.19352195,6.65941695
MONTMELIAN,45.50348679,6.04262161
ARGENTIERE HAUTE-SAVOIE (74),45.98284693,6.9302543
EVIAN LES BAINS,46.3975953,6.577137
MACAU,45.00400357,-0.61976174
ST ANDRE DE CUBZAC,44.99109493,-0.43937537
ST SEURIN SUR L'ISLE,45.01141376,-0.00190961
JANZE,47.95512334,-1.49740973
L'HERMITAGE MORDELLES,48.12316333,-1.81918843
MONTREUIL SUR ILLE,48.30632019,-1.67427134
RENNES,48.104114,-1.671996
RENNES CENTRE,48.11306179,-1.67933494
ARGENTON SUR CREUSE,46.59216719,1.5189231
CHINON,47.16305281,0.2520436
STE MAURE NOYANT,47.11111258,0.57700584
DAX,43.720034,-1.051433
GIEVRES,47.27878311,1.66766605
ONZAIN,47.49186476,1.18609563
LA BASSE INDRE ST HERBLAIN,47.2042578,-1.66098294
NANTES,47.2178592984,-1.54180037257
NANTES BOURSE,47.21210361,-1.55937597
NORT-SUR-ERDRE,47.441575,-1.502756
PONTCHATEAU,47.43517773,-2.08820897
PORNIC,47.11452652,-2.09767285
CHATEAUBRIANT,47.7169964,-1.37139708
BRIARE,47.64649868,2.73368519
MEUNG SUR LOIRE,47.82997881,1.69176022
MONTARGIS,48.006802,2.742269
ORLEANS,47.9075513102,1.90533334917
PORT STE MARIE,44.25036447,0.39030982
CHEMILLE,47.21765301,-0.73238638
SAUMUR,47.26923942,-0.07198407
SEGRE,47.6786103,-0.86674814
HENNEBONT,47.79893044,-3.28565674
